trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.9, 'e': 0.3304416097041279}",20,0,-84.22794915169898,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
185,False,"{'a': 0.9, 'e': 0.3284589600459031}",20,8,-36.48007079122629,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.9, 'e': 0.3264882062856277}",20,12,-1.0730923561332526,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.3245292770479139}",25,8,-16.903945637372495,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.9, 'e': 0.32258210138562643}",20,10,19.13188600368195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.32064660877731266}",25,7,8.282942216700906,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.3187227291246488}",20,0,-0.0894622062019792,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
191,False,"{'a': 0.9, 'e': 0.3168103927499009}",20,16,5.526187426878355,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.31490953039340147}",20,10,-92.27011053382779,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
193,False,"{'a': 0.9, 'e': 0.3130200732110411}",20,8,-34.44819123620985,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
194,False,"{'a': 0.9, 'e': 0.3111419527717748}",35,0,-2.7650643748294934,"{0: 32, 1: 0, 2: 1, 3: 2, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.30927510105514416}",20,0,-95.34386464305614,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
196,False,"{'a': 0.9, 'e': 0.3074194504488133}",20,12,16.875902491198133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.30557493374612044}",30,18,10.408918400041966,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.3037414841436437}",25,4,6.8775248140725225,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.30191903523878183}",25,0,-34.05474752987047,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
200,False,"{'a': 0.9, 'e': 0.30010752102734917}",25,6,-92.5689129006513,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
201,False,"{'a': 0.9, 'e': 0.29830687590118504}",20,11,10.030555038727526,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.29651703464577794}",20,6,-14.321176823750323,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.29473793243790325}",20,0,-54.15039531928804,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
204,False,"{'a': 0.9, 'e': 0.29296950484327583}",20,6,15.594423806249758,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.2912116878142162}",20,10,2.779284958826759,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.2894644176873309}",20,4,-34.08884182427072,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
207,False,"{'a': 0.9, 'e': 0.2877276311812069}",30,15,-15.357964631400414,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
208,False,"{'a': 0.9, 'e': 0.2860012653941197}",30,19,2.3899335512034856,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 0.28428525780175495}",25,5,-30.114663181810723,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
210,False,"{'a': 0.9, 'e': 0.2825795462549444}",20,5,14.250835536071776,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.28088406897741475}",35,12,22.364075967305567,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.27919876456355025}",20,0,-41.11951133959652,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
213,False,"{'a': 0.9, 'e': 0.27752357197616895}",30,18,-12.220078275336254,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.2758584305443119}",30,18,13.647995845088412,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9, 'e': 0.27420327996104604}",25,1,-4.149690717392008,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
216,False,"{'a': 0.9, 'e': 0.27255806028127977}",30,13,-25.71606380421994,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
217,False,"{'a': 0.9, 'e': 0.2709227119195921}",25,0,7.673293471706635,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
218,False,"{'a': 0.9, 'e': 0.26929717564807454}",25,10,22.70865952438344,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.2676813925941861}",35,0,-13.733749332031076,"{0: 30, 1: 0, 2: 4, 3: 1, 4: 0}",0
220,False,"{'a': 0.9, 'e': 0.26607530423862097}",25,0,-5.352015332056198,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
221,False,"{'a': 0.9, 'e': 0.26447885241318925}",35,8,11.338246569363944,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.2628919792987101}",25,19,13.402836388930389,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.26131462742291783}",20,12,9.354478394790961,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 0.25974673965838035}",20,16,7.593257122211371,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.25818825922043004}",20,13,-34.745198306359484,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.9, 'e': 0.2566391296651075}",20,0,-65.54061778267808,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
227,False,"{'a': 0.9, 'e': 0.25509929488711686}",25,10,24.10332332508363,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.2535686991177941}",25,9,13.069865046454503,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.25204728692308737}",20,15,7.124597673051316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.9, 'e': 0.25053500320154887}",20,0,-13.652768001141677,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
231,False,"{'a': 0.9, 'e': 0.24903179318233953}",30,16,-0.272219390132987,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.24753760242324552}",25,15,10.0142175816613,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.9, 'e': 0.24605237680870604}",35,20,15.696675548610616,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.9, 'e': 0.2445760625478538}",20,10,-27.19332396513519,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
235,False,"{'a': 0.9, 'e': 0.24310860617256666}",20,0,-15.496802163921222,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
236,False,"{'a': 0.9, 'e': 0.24164995453553126}",20,10,12.267088315320736,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.24020005480831808}",20,8,7.365201978842941,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.9, 'e': 0.23875885447946818}",20,9,16.154694118441704,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.23732630135259136}",20,14,-4.952383806962544,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.9, 'e': 0.2359023435444758}",30,9,-19.472941166241124,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.23448692948320896}",30,0,-130.81040577312666,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
242,False,"{'a': 0.9, 'e': 0.2330800079063097}",20,0,-13.057430829720927,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
243,False,"{'a': 0.9, 'e': 0.23168152785887183}",25,8,-24.36966410390976,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
244,False,"{'a': 0.9, 'e': 0.23029143869171861}",25,18,-0.7886654956459047,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.2289096900595683}",25,17,1.043949941670269,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 0.22753623191921088}",20,0,-25.011726901923105,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
247,False,"{'a': 0.9, 'e': 0.2261710145276956}",35,17,32.491435733733994,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.22481398844052944}",20,11,18.61258642804379,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.22346510450988627}",35,13,-12.786563260850155,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 0}",1
250,False,"{'a': 0.9, 'e': 0.22212431388282694}",30,10,-21.64458551900458,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
251,False,"{'a': 0.9, 'e': 0.22079156799952998}",20,10,14.102058890281246,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.9, 'e': 0.2194668185915328}",30,19,14.146917984886436,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.2181500176799836}",25,19,13.865515866898791,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.9, 'e': 0.2168411175739037}",20,0,26.221725440960817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
255,False,"{'a': 0.9, 'e': 0.21554007086846028}",30,20,11.316521114517586,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.9, 'e': 0.21424683044324952}",20,0,-4.54177380067199,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
257,False,"{'a': 0.9, 'e': 0.21296134946059003}",20,6,-0.3811264115261428,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.9, 'e': 0.21168358136382648}",25,12,23.263110230177233,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.21041347987564352}",20,0,7.252760827888974,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
260,False,"{'a': 0.9, 'e': 0.20915099899638964}",25,0,5.658652694745766,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
261,False,"{'a': 0.9, 'e': 0.20789609300241133}",25,11,25.420769296174527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.9, 'e': 0.20664871644439683}",25,4,-7.049429109187816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.9, 'e': 0.20540882414573047}",25,13,18.525944897234393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.20417637120085608}",20,0,-45.179745640624155,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
265,False,"{'a': 0.9, 'e': 0.20295131297365093}",20,16,7.582060799252935,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.20173360509580904}",30,3,26.297559807557224,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.9, 'e': 0.2005232034652342}",20,12,4.882866805130284,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.9, 'e': 0.19932006424444276}",25,8,5.999444753393992,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.9, 'e': 0.19812414385897612}",25,7,19.952057967841483,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.9, 'e': 0.19693539899582227}",20,15,8.056735208951782,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.9, 'e': 0.19575378660184733}",30,0,1.8014473965037805,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
272,False,"{'a': 0.9, 'e': 0.19457926388223623}",35,8,12.960461603280418,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
273,False,"{'a': 0.9, 'e': 0.19341178829894282}",25,0,1.4945411504849464,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
274,False,"{'a': 0.9, 'e': 0.19225131756914918}",25,9,-33.475600219280665,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
275,False,"{'a': 0.9, 'e': 0.19109780966373427}",25,4,35.51822040353712,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.18995122280575186}",25,0,20.049748007438012,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
277,False,"{'a': 0.9, 'e': 0.18881151546891736}",20,15,0.5111993185649981,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.9, 'e': 0.18767864637610385}",20,12,17.696107023776825,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.1865525744978472}",25,17,15.302639080345283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.18543325905086014}",20,13,13.327089391763453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.9, 'e': 0.18432065949655496}",20,9,-19.711645148360073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
282,False,"{'a': 0.9, 'e': 0.18321473553957565}",20,3,-63.967895326177526,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
283,False,"{'a': 0.9, 'e': 0.18211544712633818}",20,12,12.326857177268991,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.9, 'e': 0.18102275444358015}",30,0,-7.567669221845195,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
285,False,"{'a': 0.9, 'e': 0.17993661791691867}",25,7,29.809695594930687,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.9, 'e': 0.17885699820941717}",25,0,16.29708939224406,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
287,False,"{'a': 0.9, 'e': 0.17778385622016066}",25,17,10.273735559400471,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.1767171530828397}",25,14,20.569101180372297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 0.17565685016434265}",20,3,-25.065776889503663,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
290,False,"{'a': 0.9, 'e': 0.1746029090633566}",20,7,-23.75462346186846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.9, 'e': 0.17355529160897645}",20,16,6.1214359965285805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.1725139598593226}",30,17,19.03046541493114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.9, 'e': 0.17147887610016666}",20,0,0.39192079194255103,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
294,False,"{'a': 0.9, 'e': 0.17045000284356565}",20,0,-4.700095529405186,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
295,False,"{'a': 0.9, 'e': 0.16942730282650426}",20,13,14.056816664946089,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.9, 'e': 0.16841073900954523}",20,5,20.736088018957222,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.9, 'e': 0.16740027457548798}",35,7,2.48479402744941,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 0}",1
298,False,"{'a': 0.9, 'e': 0.16639587292803504}",30,17,-21.265393215859376,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
299,False,"{'a': 0.9, 'e': 0.16539749769046683}",20,11,5.866496609763747,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.9, 'e': 0.16440511270432404}",20,0,-5.630990923036937,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
301,False,"{'a': 0.9, 'e': 0.1634186820280981}",30,14,29.009286511537834,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.9, 'e': 0.1624381699359295}",30,0,-53.79844614531202,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
303,False,"{'a': 0.9, 'e': 0.1614635409163139}",20,2,8.683923754310237,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.9, 'e': 0.16049475967081603}",30,13,-21.153342265079228,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
305,False,"{'a': 0.9, 'e': 0.15953179111279114}",20,16,8.00446473636251,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.9, 'e': 0.15857460036611437}",35,17,-11.886592051433244,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
307,False,"{'a': 0.9, 'e': 0.1576231527639177}",25,6,27.843190431490324,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.9, 'e': 0.1566774138473342}",20,14,11.198055367730078,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.9, 'e': 0.15573734936425018}",20,11,-11.272822796779655,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
310,False,"{'a': 0.9, 'e': 0.1548029252680647}",25,15,17.30703415112636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.9, 'e': 0.1538741077164563}",25,10,27.739495995291655,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.9, 'e': 0.15295086307015757}",25,0,18.691219954008425,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.9, 'e': 0.1520331578917366}",20,12,14.066565428184283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.9, 'e': 0.15112095894438618}",20,0,-16.817208579701227,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
315,False,"{'a': 0.9, 'e': 0.15021423319071986}",30,20,18.671433485387514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.9, 'e': 0.14931294779157556}",25,2,25.312563636580254,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
317,False,"{'a': 0.9, 'e': 0.1484170701048261}",20,12,10.569595680758045,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.9, 'e': 0.14752656768419714}",20,0,29.789087921067246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
319,False,"{'a': 0.9, 'e': 0.14664140827809197}",25,12,14.230551473680482,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.9, 'e': 0.1457615598284234}",30,18,20.001599482146084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.9, 'e': 0.14488699046945286}",20,14,6.686075168280077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.9, 'e': 0.14401766852663614}",25,11,16.76037183983934,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.9, 'e': 0.1431535625154763}",20,0,-20.18980401904488,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
324,False,"{'a': 0.9, 'e': 0.14229464114038345}",30,17,6.796247777661298,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.9, 'e': 0.14144087329354116}",25,17,8.41465390598951,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.9, 'e': 0.1405922280537799}",20,0,15.80146522697461,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
327,False,"{'a': 0.9, 'e': 0.13974867468545724}",20,11,-3.1431787193528535,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
328,False,"{'a': 0.9, 'e': 0.1389101826373445}",30,23,11.878383956157004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.9, 'e': 0.13807672154152043}",25,7,26.61123751845428,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.9, 'e': 0.1372482612122713}",20,11,16.18961726965697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.9, 'e': 0.13642477164499767}",20,1,-16.54814745018412,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
332,False,"{'a': 0.9, 'e': 0.13560622301512767}",25,19,-31.16607957072305,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
333,False,"{'a': 0.9, 'e': 0.13479258567703692}",30,24,11.973941128963405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.9, 'e': 0.1339838301629747}",25,13,27.90056751357868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.9, 'e': 0.13317992718199684}",20,4,-22.824436091394148,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
336,False,"{'a': 0.9, 'e': 0.13238084761890487}",30,15,12.050132497513658,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.9, 'e': 0.13158656253319143}",20,12,11.609521853246584,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.9, 'e': 0.1307970431579923}",25,10,17.433226672213536,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.9, 'e': 0.13001226089904433}",20,11,15.280986039243738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.9, 'e': 0.12923218733365008}",20,0,30.958101983295172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
341,False,"{'a': 0.9, 'e': 0.12845679420964817}",30,17,-4.9386402006123244,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
342,False,"{'a': 0.9, 'e': 0.12768605344439027}",25,16,17.631495786540473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.9, 'e': 0.12691993712372393}",25,8,38.04164247302079,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.9, 'e': 0.12615841750098158}",25,13,18.98718511846578,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.9, 'e': 0.1254014669959757}",25,20,9.337460931833622,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.9, 'e': 0.12464905819399985}",20,12,-27.164633107701317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
347,False,"{'a': 0.9, 'e': 0.12390116384483585}",30,17,-7.732377854399821,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
348,False,"{'a': 0.9, 'e': 0.12315775686176683}",20,11,15.256045597164725,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.9, 'e': 0.12241881032059623}",25,11,18.111062074119808,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.9, 'e': 0.12168429745867265}",25,11,-22.6238921729198,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
351,False,"{'a': 0.9, 'e': 0.12095419167392062}",20,0,26.124741878464672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'a': 0.9, 'e': 0.12022846652387709}",20,4,13.782334821184135,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
353,False,"{'a': 0.9, 'e': 0.11950709572473382}",20,3,22.246107923138975,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.9, 'e': 0.11879005315038542}",30,17,15.523774829218716,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.9, 'e': 0.11807731283148311}",20,0,24.298408941330205,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
356,False,"{'a': 0.9, 'e': 0.1173688489544942}",30,14,17.52752925749192,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.9, 'e': 0.11666463586076724}",20,13,14.244366407894915,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.9, 'e': 0.11596464804560264}",25,14,22.620069005834118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.9, 'e': 0.11526886015732903}",25,5,15.492554705586507,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.9, 'e': 0.11457724699638505}",30,19,5.231340572313954,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.9, 'e': 0.11388978351440673}",20,9,16.374808574988695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.9, 'e': 0.11320644481332029}",25,8,30.923385093127024,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.9, 'e': 0.11252720614444037}",20,9,20.10852958118307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.9, 'e': 0.11185204290757374}",25,15,18.227932380046326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.9, 'e': 0.11118093065012828}",20,3,-5.250355213052611,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
366,False,"{'a': 0.9, 'e': 0.11051384506622752}",25,8,26.238128325821165,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.9, 'e': 0.10985076199583015}",20,15,8.248357081666246,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.9, 'e': 0.10919165742385517}",25,17,-25.23921432357384,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
