trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.64093112465729,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.36158630961181,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.0605578121817,"{0: 14, 1: 6, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.06894594514824,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.56536740652018,"{0: 11, 1: 3, 2: 8, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.31259083805494,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-137.89521005618303,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
,False,"{'a': 0.5, 'e': 1.0}",25,3,-138.69310753075968,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 2}",1
